friend_id,user1_id,user2_id
937705,329537,875330
573002,329537,351976
111590,329537,158358
417218,329537,737574
632900,329537,476356
433558,329537,113758
982862,652805,838213
607876,652805,180709
779606,652805,791288
729768,652805,197670
171701,652805,603571
212159,652805,242064
892946,184352,415271
439647,184352,978124
623574,184352,570830
167072,184352,544236
260247,184352,244596
300883,184352,447813
195488,184352,714203
843355,838213,164176
287363,838213,698749
179327,838213,971991
413043,838213,332978
298404,838213,968661
228566,503297,325374
435593,503297,470473
551585,503297,687165
274016,503297,330642
944494,503297,699097
483684,503297,275107
898781,503297,936019
602764,503297,793510
287663,503297,584437
212694,969844,623813
762699,969844,118888
717943,969844,244596
878914,969844,873483
292056,969844,772613
367574,969844,463431
734234,969844,573959
430177,969844,561721
830934,350156,968723
767035,350156,573816
711252,350156,466577
996187,350156,656024
507376,350156,646026
799333,350156,358678
756748,350156,561721
744222,350156,582150
920091,141277,994928
621555,141277,496636
739484,141277,544236
325386,141277,895062
553353,141277,922093
485557,141277,153705
598803,141277,638028
590426,132273,843081
348635,132273,321170
937177,132273,638028
786556,132273,427751
187349,132273,445632
865019,132273,506303
979250,132273,707354
127804,132273,652569
311724,132273,201901
976707,132273,183207
246776,415271,544236
945412,415271,413368
654561,415271,195453
607115,415271,988950
531134,415271,202626
647002,881491,485359
868206,881491,837555
141809,881491,263987
912716,864972,795467
885595,864972,841848
204451,864972,489901
770550,864972,713014
694389,864972,931186
412520,864972,957339
391460,864972,584574
767785,807448,132273
477385,807448,762974
935890,807448,622439
808850,807448,133281
429868,807448,689667
146989,807448,895062
767376,807448,418591
877069,807448,522622
934885,807448,337415
593607,807448,923272
625854,807448,915422
199203,807448,477746
883809,807448,718121
203181,807448,440399
501153,807448,927782
970962,807448,979660
210802,807448,302758
676304,807448,910137
905511,807448,811811
747750,807448,991848
617831,807448,212819
715251,807448,946452
513374,807448,582716
528027,807448,788788
461443,807448,318448
812272,807448,308629
320659,807448,855693
928732,807448,645589
181235,807448,967410
191837,807448,638619
223419,807448,201901
248017,807448,665300
213078,807448,742676
336873,807448,404454
728212,328684,343642
208363,328684,764538
980569,328684,386497
424524,328684,450390
878224,328684,581463
457816,328684,326162
526837,328684,599779
973382,328684,951221
412593,325374,315601
806377,325374,135880
445848,325374,725461
292450,325374,177755
480777,325374,584574
123993,546625,773879
934091,546625,686982
165950,546625,573996
706607,546625,489901
860285,546625,563355
312523,546625,777327
690635,546625,709221
788369,546625,709986
850171,546625,314702
111714,546625,763783
360355,673757,662662
151631,673757,742017
454274,673757,512935
841596,673757,436768
739310,673757,246897
716506,673757,447448
631408,673757,312788
812361,673757,616081
271879,673757,167200
738097,673757,669781
161054,117595,821477
396751,117595,754730
865017,477099,713285
401742,477099,622867
612746,477099,987779
604402,477099,204411
566010,477099,996317
399898,477099,423212
239826,477099,961104
643947,477099,159628
992735,477099,321170
638124,477099,407516
373850,477099,927782
815020,477099,148192
562168,477099,160915
489497,477099,302758
793758,477099,173194
513992,477099,910137
813280,477099,671141
807681,477099,394046
182760,477099,600238
745843,477099,581463
403185,477099,991848
571659,477099,370026
648431,477099,348629
981368,477099,334756
367534,477099,582716
871654,477099,120471
939017,477099,373609
918302,477099,645589
589508,477099,638619
391959,477099,582150
991658,477099,990829
319207,477099,770681
301033,477099,435354
860227,950185,583988
986792,950185,413368
329830,950185,468431
932816,950185,770849
604933,950185,196276
232665,950185,183117
793960,950185,462544
585121,959970,652805
393415,959970,675687
516375,959970,694059
884959,959970,762736
452382,959970,242205
734827,959970,479456
461667,959970,986065
684631,959970,205958
117400,959970,471666
584093,959970,963086
859485,959970,881889
754825,959970,981928
209077,959970,734675
609548,959970,548730
555494,754430,651283
381889,754430,153705
984756,754430,366197
272122,754430,382537
719148,754430,553112
339623,864642,167017
169480,864642,880753
689858,864642,379391
237388,864642,469842
575601,864642,661493
382795,864642,939003
912987,864642,140868
793035,864642,579168
924267,527562,477746
155768,527562,345430
884356,527562,927782
769502,527562,330505
426885,527562,751098
710828,527562,811811
672418,527562,861733
277140,527562,334756
317022,527562,554123
839096,664839,687807
865897,658740,315601
896003,658740,542528
447528,658740,312571
909250,658740,224552
643892,658740,716435
640692,658740,346364
405049,658740,960273
376144,658740,627658
222010,658740,936019
806957,658740,746042
419636,658740,393584
645547,658740,244424
708461,658740,317552
437640,315601,878467
641935,315601,399324
991032,315601,573996
818643,675687,941881
483199,675687,738051
293436,675687,180709
796569,675687,985139
185036,587632,392625
501042,587632,248328
159201,587632,142900
998349,587632,248496
395890,587632,307657
580552,587632,881050
594790,587632,432991
223919,225855,969844
295579,225855,783454
374756,225855,643025
237832,225855,183207
342750,780660,776366
931497,780660,562688
936673,780660,600375
425270,780660,170363
694339,780660,266711
202052,780660,804276
359402,780660,674730
512986,780660,716957
545948,866909,964971
800188,866909,562688
869306,866909,170363
349092,866909,455163
680541,866909,839534
908046,784515,168945
865651,784515,578924
204373,784515,395610
975923,673947,716435
887781,673947,709986
133649,673947,314702
980690,673947,393584
215361,335853,833140
155820,335853,373496
312643,335853,833827
183165,335853,749090
583237,335853,990829
331523,785203,753449
500303,785203,724805
969410,785203,573959
148134,785203,643025
626939,222603,246897
771298,222603,692832
165417,222603,314919
673778,167017,864642
379198,167017,165894
445528,167017,140868
140218,576975,673757
587587,576975,864642
277147,576975,489471
863307,576975,246897
214375,576975,392625
737987,576975,400105
581629,576975,212634
295754,576975,154720
701665,576975,167539
160544,576975,594561
271217,576975,118311
159405,541101,546216
946999,541101,910637
988126,541101,588281
369380,541101,570139
926832,541101,725222
463545,541101,118311
540137,541101,777766
877773,795462,760373
757621,795462,600583
240598,795462,501121
134065,795462,767601
418892,795462,240519
827541,795462,654501
798389,791038,873538
189665,791038,307657
715622,791038,881050
137464,211613,284374
980602,211613,763006
295441,211613,331629
617351,211613,315925
738412,211613,150619
684300,211613,835631
591802,211613,197670
425316,211613,286727
397488,741156,542528
493350,741156,504692
906057,741156,557703
250587,741156,777327
593910,800302,762974
634967,800302,328594
374014,800302,182363
760948,800302,833140
976374,800302,496636
890931,800302,622867
890251,800302,204411
988596,800302,153705
727155,800302,294692
859303,800302,440399
764071,800302,773669
339182,800302,594507
633069,800302,751098
790663,800302,313970
934442,800302,122878
333705,800302,622050
656996,800302,212819
159085,800302,411780
477076,800302,334756
469411,800302,665988
170540,800302,120471
341712,800302,318448
729525,800302,262378
857800,800302,785975
980460,800302,251506
113741,800302,645589
561726,800302,328706
409589,800302,464392
385367,800302,943725
480767,800302,770681
780903,800302,881247
450412,457314,741156
928843,457314,496280
436336,457314,221720
224883,457314,627658
476984,457314,936019
146281,457314,675956
164798,457314,709221
423181,457314,584437
844792,457314,716957
991148,310613,542528
218743,310613,489997
430670,310613,716435
682011,310613,679100
605315,310613,901689
431237,310613,663112
234130,310613,741114
117811,310613,438132
407230,310613,275107
505471,310613,538525
907320,310613,675956
584129,310613,443108
355844,310613,177755
310461,310613,637680
965051,310613,629629
886525,501264,623813
359822,501264,672878
720174,501264,195453
375654,501264,149120
962334,501264,407516
800933,501264,581463
805782,501264,656024
659729,501264,437829
163333,501264,253674
364616,447142,382369
170113,447142,387124
754778,447142,119754
629327,447142,698740
876073,447142,747672
929584,447142,851598
858971,447142,837285
731885,447142,414451
732889,447142,322361
685748,447142,154720
323527,447142,144874
817394,447142,939003
699627,447142,140868
630522,447142,704460
653835,447142,507537
916084,168428,544236
356222,168428,618076
155778,168428,173725
203580,168428,614508
942181,168428,191259
353125,168428,139061
112965,168428,768706
721645,168428,427751
167250,168428,433329
509838,168428,439219
869383,168428,651477
537063,168428,753970
619504,168428,404662
575300,494825,310613
177643,494825,170363
466202,494825,275107
448730,494825,958035
242866,583988,466577
465963,583988,463431
514703,583988,404662
919275,941881,837555
252425,941881,252460
599485,941881,180709
580806,941881,300584
808974,941881,577655
165429,941881,625559
746348,941881,455163
688965,941881,985139
646744,941881,582612
225462,941881,201906
798966,994928,661410
977406,994928,611697
933799,994928,492283
149695,994928,260744
570551,994928,358395
279210,994928,984791
299492,994928,196276
420829,994928,599779
952250,994928,494631
904750,994928,721147
170586,762974,807448
273057,762974,754430
978514,762974,800302
357764,762974,598202
672959,762974,162851
246715,762974,133281
695336,762974,382692
294475,762974,895062
691022,762974,944543
603862,762974,418591
870466,762974,173725
319138,762974,426300
812145,762974,195453
645450,762974,915422
645613,762974,646480
145388,762974,140751
913021,762974,431999
833724,762974,981172
867231,762974,651283
452649,762974,573816
423712,762974,913733
499450,762974,573138
367891,762974,181637
848070,762974,381532
536957,762974,443017
940155,762974,853583
754749,762974,623055
686861,762974,672618
514219,762974,330505
673209,762974,150812
473343,762974,366461
340479,762974,984791
400620,762974,991848
501775,762974,212819
207409,762974,400420
519212,762974,775527
151515,762974,368687
683172,762974,373609
239242,762974,251506
156545,762974,759265
674552,762974,464392
586631,762974,881247
640465,355789,658740
175420,355789,205958
761527,355789,716457
112781,355789,993622
671819,206899,831164
412692,206899,889306
814639,206899,731086
127205,206899,599136
451793,206899,212549
451407,206899,495249
431699,206899,964723
327599,206899,569990
734877,206899,950657
376563,206899,328781
651406,206899,386445
733923,206899,401764
438447,206899,669175
245895,760801,541101
619804,760801,775878
506396,760801,607133
564604,600694,686026
950648,600694,111141
223666,600694,764538
976258,600694,614508
463683,600694,611697
349328,600694,929261
485161,600694,210986
164111,600694,993460
142258,600694,571508
724341,817517,540525
722061,817517,618917
174338,817517,539970
666398,817517,534042
452352,817517,277950
615581,817517,160474
175481,817517,618975
442408,817517,985139
670958,817517,857796
547309,817517,348902
528882,817517,201906
454345,542528,706110
868684,542528,824996
166661,542528,127459
639202,542528,713908
854432,542528,204985
370028,542528,951184
376040,328594,762974
895474,328594,182363
210050,328594,243189
176593,328594,337415
636503,328594,923272
844852,328594,489279
613915,328594,794048
790660,328594,321170
330036,328594,833827
669878,328594,440399
595317,328594,913733
468409,328594,286857
937887,328594,959304
707579,328594,443017
265121,328594,638028
251679,328594,751098
141329,328594,313970
584719,328594,581463
210204,328594,846907
342039,328594,665988
834499,328594,308629
809624,328594,262378
230243,328594,373609
283179,328594,990829
559786,328594,683875
745678,328594,665300
206480,328594,881247
766644,328594,435354
863571,218570,527562
274121,218570,245989
555515,218570,875707
551101,218570,776366
245771,218570,112094
263886,218570,504692
760817,218570,489279
928245,218570,223163
251080,218570,475633
808866,218570,725461
